student_id,midterm_score,final_score,attendance_days
STU_0326,57.9,59.2,17
STU_0327,81.6,67.5,20
STU_0328,77.9,73.8,15
STU_0329,76.2,65.3,16
STU_0330,76.3,79.8,20
STU_0331,69.9,87.2,17
STU_0332,61.0,84.8,16
STU_0333,70.8,73.3,19
STU_0334,63.2,86.9,16
STU_0335,79.8,76.2,19
STU_0336,68.5,72.3,20
STU_0337,61.7,70.1,19
STU_0338,66.8,72.6,20
STU_0339,74.1,71.9,20
STU_0340,64.4,76.4,20
STU_0341,61.8,76.3,20
STU_0342,72.4,75.0,20
STU_0343,72.4,78.5,16
STU_0344,64.9,84.5,20
STU_0345,65.3,82.6,16
STU_0346,72.3,63.1,20
STU_0347,55.5,54.6,19
STU_0348,55.9,82.5,20
STU_0349,62.8,64.1,17
STU_0350,67.9,73.2,20
STU_0351,73.1,65.6,20
STU_0352,84.8,60.6,19
STU_0353,78.6,79.3,18
STU_0354,68.4,81.1,19
STU_0355,69.8,70.4,17
STU_0356,60.0,54.3,18
STU_0357,69.8,70.6,15
STU_0358,67.1,78.1,15
STU_0359,73.2,63.2,17
STU_0360,61.7,76.5,19
STU_0361,75.2,74.9,16
STU_0362,85.3,79.6,17
STU_0363,68.9,76.0,18
STU_0364,74.0,67.2,18
STU_0365,76.9,84.6,20
STU_0366,66.0,73.7,15
STU_0367,72.2,74.8,18
STU_0368,70.1,67.5,17
STU_0369,71.0,71.5,18
STU_0370,62.3,67.9,17
STU_0371,70.2,73.6,16
STU_0372,75.0,88.7,20
STU_0373,84.5,64.0,15
STU_0374,79.6,62.1,18
STU_0375,91.5,86.8,17
STU_0376,62.3,73.3,19
STU_0377,78.7,69.6,15
STU_0378,71.8,83.3,16
STU_0379,91.9,70.2,17
STU_0380,61.9,89.6,20
STU_0381,61.6,80.4,20
STU_0382,64.0,71.1,16
STU_0383,48.8,92.3,16
STU_0384,64.7,70.2,20
STU_0385,62.4,80.9,18
STU_0386,71.5,77.4,18
STU_0387,73.4,85.4,17
STU_0388,88.8,87.5,19
STU_0389,79.5,75.3,17
STU_0390,64.2,69.0,19
STU_0391,61.0,78.7,16
STU_0392,74.9,69.6,15
STU_0393,56.8,91.1,17
STU_0394,88.3,76.1,17
STU_0395,81.8,72.1,19
STU_0396,65.3,76.5,16
STU_0397,52.9,64.2,16
STU_0398,83.5,67.2,19
STU_0399,68.9,84.6,16
STU_0400,82.4,69.7,20
STU_0401,54.1,66.6,18
STU_0402,64.0,79.3,20
STU_0403,70.1,84.5,15
STU_0404,70.5,80.8,17
STU_0405,65.5,83.0,15
STU_0406,76.2,68.9,17
STU_0407,59.3,63.6,18
STU_0408,68.6,87.0,16
STU_0409,71.2,72.4,20
STU_0410,75.1,73.0,19
STU_0411,77.1,85.6,20
STU_0412,58.8,79.4,18
STU_0413,54.7,78.6,15
STU_0414,82.8,92.3,19
STU_0415,73.3,69.9,16
STU_0416,62.5,82.4,18
STU_0417,85.5,75.5,19
STU_0418,71.2,77.1,18
STU_0419,81.8,,18
STU_0420,70.7,79.1,16
STU_0421,90.6,,17
STU_0422,87.6,83.6,19
STU_0423,67.5,72.1,16
STU_0424,79.7,68.3,18
STU_0425,76.5,66.6,16
STU_0426,83.7,59.3,17
STU_0427,60.4,91.4,20
STU_0428,76.9,66.2,19
STU_0429,80.6,73.2,17
STU_0430,52.4,72.8,15
STU_0431,58.2,77.5,19
STU_0432,49.6,81.5,17
STU_0433,67.3,81.9,18
STU_0434,77.2,70.3,19
STU_0435,85.0,73.7,19
STU_0436,70.7,77.3,16
STU_0437,86.3,73.0,18
STU_0438,56.2,87.9,15
STU_0439,53.0,78.9,20
STU_0440,69.4,80.9,17
STU_0441,73.8,80.3,16
STU_0442,69.7,84.4,17
STU_0443,49.3,76.4,15
STU_0444,69.1,64.6,15
STU_0445,57.0,78.2,19
STU_0446,76.7,69.8,15
STU_0447,73.7,70.8,17
STU_0448,60.6,79.7,18
STU_0449,64.9,84.9,18
STU_0450,59.4,75.2,19
STU_0451,69.4,77.5,20
STU_0452,79.6,,17
STU_0453,60.1,76.9,17
STU_0454,75.0,95.8,15
STU_0455,64.7,79.5,17
STU_0456,62.1,60.9,16
STU_0457,68.9,81.0,20
STU_0458,59.6,78.0,15
STU_0459,64.5,85.3,16
STU_0460,58.0,80.4,19
STU_0461,89.6,73.9,18
STU_0462,70.4,65.2,19
STU_0463,63.0,73.3,18
STU_0464,72.1,68.2,19
STU_0465,68.9,70.4,17
STU_0466,67.8,79.7,16
STU_0467,76.1,88.4,18
STU_0468,77.6,78.2,15
STU_0469,64.7,65.4,16
STU_0470,64.2,78.6,15
STU_0471,67.2,84.6,16
STU_0472,47.0,70.1,16
STU_0473,54.8,73.9,19
STU_0474,83.7,75.1,18
STU_0475,86.4,68.7,18
STU_0476,67.5,80.2,16
STU_0477,75.8,74.0,17
STU_0478,73.1,,17
STU_0479,100.8,67.9,15
STU_0480,81.2,71.5,15
STU_0481,68.7,80.8,19
STU_0482,60.4,72.0,16
STU_0483,53.9,88.8,15
STU_0484,72.0,71.8,15
STU_0485,62.4,76.8,20
STU_0486,55.8,82.5,16
STU_0487,63.5,63.7,19
STU_0488,59.2,60.9,15
STU_0489,86.9,62.8,19
STU_0490,78.8,85.1,18
STU_0491,69.9,70.6,19
STU_0492,84.8,95.5,17
STU_0493,70.8,70.5,17
STU_0494,61.4,76.5,19
STU_0495,85.2,87.3,17
STU_0496,75.4,91.0,18
STU_0497,59.6,91.5,16
STU_0498,68.1,,17
STU_0499,61.2,83.2,17
STU_0500,56.2,79.7,19
STU_0501,79.3,81.2,18
STU_0502,89.1,70.6,16
STU_0503,56.0,68.5,19
STU_0504,75.6,75.0,19
STU_0505,63.5,73.6,20
STU_0506,65.1,71.4,18
STU_0507,64.1,80.6,16
STU_0508,61.4,82.6,18
STU_0509,70.5,75.7,16
STU_0510,61.7,86.8,18
STU_0511,72.7,65.9,19
STU_0512,69.5,73.5,19
STU_0513,67.6,69.3,15
STU_0514,60.9,60.1,17
STU_0515,64.2,74.3,20
STU_0516,77.6,74.0,18
STU_0517,75.0,87.1,20
STU_0518,60.2,80.0,15
STU_0519,71.0,66.8,17
STU_0520,77.5,89.8,18
STU_0521,53.3,84.8,16
STU_0522,75.4,79.7,17
STU_0523,63.4,73.2,19
STU_0524,75.7,67.3,15
STU_0525,62.4,72.0,17
STU_0526,52.0,83.7,17
STU_0527,53.7,90.1,19
STU_0528,70.5,87.3,18
STU_0529,72.6,71.1,16
STU_0530,61.0,,19
STU_0531,76.4,76.1,16
STU_0532,53.4,60.9,18
STU_0533,69.3,77.6,17
STU_0534,57.9,73.8,16
STU_0535,63.5,71.3,15
STU_0536,70.5,62.2,15
STU_0537,61.4,79.1,19
STU_0538,66.2,70.7,18
STU_0539,80.1,65.6,19
STU_0540,64.2,52.0,19
STU_0541,78.4,74.8,20
STU_0542,58.7,89.2,19
STU_0543,75.3,88.3,20
STU_0544,84.4,71.3,15
STU_0545,45.3,70.2,15
STU_0546,62.0,78.8,19
STU_0547,75.8,67.0,15
STU_0548,68.0,77.4,18
STU_0549,73.7,81.1,20
STU_0550,64.0,84.8,20
STU_0551,70.9,,19
STU_0552,68.4,73.4,15
STU_0553,81.7,68.0,16
STU_0554,72.5,68.4,20
STU_0555,73.4,73.2,19
STU_0556,65.9,77.9,19
STU_0557,65.1,82.3,18
STU_0558,65.7,68.6,17
STU_0559,73.9,86.9,17
STU_0560,65.8,72.8,20
STU_0561,72.9,74.8,18
STU_0562,90.8,69.0,18
STU_0563,78.7,55.6,18
STU_0564,66.7,82.1,20
STU_0565,82.0,80.9,17
STU_0566,65.9,72.7,18
STU_0567,49.6,75.5,15
STU_0568,59.9,,19
STU_0569,51.3,62.5,19
STU_0570,66.5,70.8,16
STU_0571,70.2,81.4,16
STU_0572,86.8,65.0,20
STU_0573,73.3,77.3,20
STU_0574,67.8,64.1,19
STU_0575,78.3,78.7,15
STU_0576,47.9,74.7,17
STU_0577,72.4,62.1,17
STU_0578,77.7,84.3,20
STU_0579,55.2,,15
STU_0580,81.4,68.5,20
STU_0581,73.4,76.6,17
STU_0582,65.8,84.2,20
STU_0583,76.3,66.9,18
STU_0584,92.7,75.5,20
STU_0585,71.8,78.4,19
STU_0586,72.5,80.5,20
STU_0587,65.4,76.4,19
STU_0588,61.5,72.1,15
STU_0589,78.3,68.4,17
STU_0590,61.4,75.7,16
STU_0591,70.7,66.4,16
STU_0592,65.2,51.6,17
STU_0593,74.8,78.5,16
STU_0594,73.3,82.2,20
STU_0595,80.4,56.1,15
STU_0596,64.9,66.9,15
STU_0597,67.3,80.0,17
STU_0598,60.2,91.5,16
STU_0599,65.6,75.2,20
STU_0600,73.8,69.2,15
STU_0601,77.6,73.5,15
STU_0602,60.8,86.0,18
STU_0603,78.7,69.8,18
STU_0604,83.6,68.6,15
STU_0605,74.1,71.1,17
STU_0606,88.8,67.4,19
STU_0607,62.3,76.0,19
STU_0608,57.6,88.0,20
STU_0609,52.2,77.6,15
STU_0610,85.0,73.0,15
STU_0611,76.5,72.7,15
STU_0612,69.4,62.5,17
STU_0613,72.8,82.1,18
STU_0614,58.7,74.4,15
STU_0615,94.5,73.6,15
STU_0616,71.3,100.5,16
STU_0617,71.1,77.4,17
STU_0618,77.3,69.0,20
STU_0619,74.8,71.6,15
STU_0620,72.2,84.2,16
STU_0621,62.1,75.9,19
STU_0622,74.7,63.5,20
STU_0623,88.8,82.4,15
STU_0624,83.5,69.7,15
STU_0625,85.9,90.0,16
STU_0626,64.9,,17
STU_0627,60.1,71.4,15
STU_0628,68.7,85.2,19
STU_0629,70.6,75.5,15
STU_0630,80.9,81.8,19
STU_0631,53.1,78.9,20
STU_0632,85.3,68.2,20
STU_0633,68.4,69.9,18
STU_0634,65.7,83.2,18
STU_0635,59.9,72.3,19
STU_0636,53.5,71.8,17
STU_0637,78.2,67.4,15
STU_0638,70.7,78.4,15
STU_0639,57.1,91.5,18
STU_0640,57.0,66.5,19
STU_0641,66.6,75.2,15
STU_0642,86.7,86.3,15
STU_0643,67.4,74.4,17
STU_0644,55.0,78.6,16
STU_0645,67.5,66.5,18
STU_0646,67.3,78.4,18
STU_0647,43.0,73.5,16
STU_0648,69.5,82.9,15
STU_0649,67.7,84.5,17
STU_0650,77.0,95.7,17
STU_0651,88.5,79.6,18
STU_0652,81.3,77.6,17
STU_0653,67.3,76.6,20
STU_0654,58.9,72.2,16
STU_0655,95.7,77.7,15
STU_0656,70.6,72.6,20
STU_0657,70.1,76.3,16
STU_0658,69.8,85.5,19
STU_0659,72.0,66.9,18
STU_0660,68.6,84.1,17
STU_0661,64.3,85.5,19
STU_0662,64.5,74.1,17
STU_0663,69.7,58.0,20
STU_0664,64.6,70.1,15
STU_0665,62.9,85.4,15
STU_0666,71.1,,15
STU_0667,67.5,67.0,17
STU_0668,85.0,71.0,19
STU_0669,43.5,81.7,15
STU_0670,80.9,79.4,19
STU_0671,82.5,73.1,17
STU_0672,49.3,72.1,20
STU_0673,66.6,71.9,19
STU_0674,66.3,67.6,20
STU_0675,55.9,87.9,17
STU_0676,62.2,72.4,17
STU_0677,58.9,84.7,18
STU_0678,87.5,87.2,17
STU_0679,79.4,83.0,17
STU_0680,82.7,71.5,16
STU_0681,77.2,78.2,15
STU_0682,58.7,74.8,18
STU_0683,64.8,67.8,18
STU_0684,74.9,77.6,18
STU_0685,57.8,65.6,16
STU_0686,77.1,84.5,20
STU_0687,67.6,71.3,17
STU_0688,66.3,76.6,15
STU_0689,77.1,77.3,19
STU_0690,74.4,72.9,20
STU_0691,66.4,79.7,17
STU_0692,81.6,71.2,16
STU_0693,59.2,82.0,17
STU_0694,76.2,64.2,17
STU_0695,75.9,76.0,16
STU_0696,66.9,90.5,18
STU_0697,73.3,67.0,18
STU_0698,57.5,69.6,15
STU_0699,79.2,79.1,15
STU_0700,68.2,76.4,18
STU_0701,64.8,,20
STU_0702,80.5,78.9,19
STU_0703,63.0,80.1,17
STU_0704,55.9,83.9,19
STU_0705,54.4,,17
STU_0706,76.1,73.1,18
STU_0707,57.2,80.4,15
STU_0708,87.5,90.2,20
STU_0709,49.2,73.9,15
STU_0710,87.0,67.2,19
STU_0711,72.1,83.9,15
STU_0712,69.0,74.0,18
STU_0713,64.6,57.6,20
STU_0714,74.0,81.8,19
STU_0715,69.6,70.7,20
STU_0716,81.0,74.3,17
STU_0717,71.1,77.7,15
STU_0718,71.5,76.5,20
STU_0719,66.4,80.7,16
STU_0720,69.4,71.5,15
STU_0721,73.1,79.1,17
STU_0722,52.9,72.9,20
STU_0723,56.5,80.9,19
STU_0724,77.4,79.9,17
STU_0725,71.7,67.5,16
STU_0726,68.2,83.7,20
STU_0727,70.2,70.7,18
STU_0728,73.5,81.5,15
STU_0729,64.6,77.9,19
STU_0730,62.2,89.7,18
STU_0731,72.0,73.2,20
STU_0732,60.2,72.2,20
STU_0733,74.1,74.8,17
STU_0734,53.0,72.6,20
STU_0735,80.3,81.4,19
STU_0736,74.7,62.1,18
STU_0737,72.6,66.6,19
STU_0738,79.8,66.5,16
STU_0739,86.7,,16
STU_0740,80.1,88.7,15
STU_0741,51.6,74.2,15
STU_0742,57.2,73.6,16
STU_0743,63.8,75.6,20
STU_0744,70.3,84.3,19
STU_0745,75.2,67.6,16
STU_0746,62.7,76.9,15
STU_0747,71.9,82.8,16
STU_0748,62.4,79.0,20
STU_0749,63.9,76.5,16
STU_0750,55.9,83.0,19
STU_0751,60.8,53.4,18
STU_0752,56.5,80.4,20
STU_0753,60.2,69.8,15
STU_0754,80.5,,19
STU_0755,60.5,79.1,16
STU_0756,96.3,86.0,16
STU_0757,74.9,73.9,18
STU_0758,71.8,82.6,15
STU_0759,61.4,87.9,15
STU_0760,77.0,85.5,17
STU_0761,64.2,88.1,15
STU_0762,71.2,,18
STU_0763,95.6,75.6,17
STU_0764,69.0,62.2,17
STU_0765,81.5,73.0,16
STU_0766,63.0,68.3,16
STU_0767,69.7,92.4,15
STU_0768,87.7,73.6,17
STU_0769,63.7,76.0,16
STU_0770,88.1,79.4,18
STU_0771,77.1,75.3,16
STU_0772,64.4,88.6,20
STU_0773,76.3,70.0,20
STU_0774,79.7,76.6,16
STU_0775,76.2,69.1,17
STU_0776,54.3,64.4,17
STU_0777,62.7,70.1,19
STU_0778,67.5,74.7,20
STU_0779,69.3,71.6,18
STU_0780,76.2,69.5,17
STU_0781,71.8,63.7,15
STU_0782,56.6,74.3,20
STU_0783,73.8,63.0,18
STU_0784,76.1,81.1,18
STU_0785,75.6,75.7,17
STU_0786,80.8,63.3,18
STU_0787,78.3,72.5,17
STU_0788,74.6,69.0,16
STU_0789,69.3,77.6,20
STU_0790,53.4,85.7,19
STU_0791,74.3,60.0,16
STU_0792,72.1,75.9,20
STU_0793,72.7,,17
STU_0794,57.2,80.4,20
STU_0795,59.2,76.7,17
STU_0796,80.5,69.0,16
STU_0797,69.6,72.4,15
STU_0798,76.8,68.6,15
STU_0799,70.3,83.6,20
STU_0800,70.3,75.2,15
STU_0801,79.4,90.2,17
STU_0802,64.8,74.5,18
STU_0803,71.0,69.3,17
STU_0804,65.4,62.9,18
STU_0805,65.7,60.6,16
STU_0806,66.9,62.3,19
STU_0807,72.2,77.1,18
STU_0808,65.2,79.1,15
STU_0809,82.6,62.4,17
STU_0810,61.1,82.2,16
STU_0811,68.1,71.1,15
STU_0812,65.6,76.2,16
STU_0813,84.5,87.9,19
STU_0814,72.0,82.2,17
STU_0815,80.3,72.9,20
STU_0816,55.1,67.9,17
STU_0817,72.7,57.8,19
STU_0818,78.9,69.2,17
STU_0819,70.8,73.3,20
STU_0820,80.7,67.1,18
STU_0821,64.8,73.9,16
STU_0822,84.1,75.6,20
STU_0823,93.0,73.2,15
STU_0824,66.4,69.8,19
STU_0825,65.5,76.3,18
STU_0826,84.5,78.5,15
STU_0827,85.8,66.3,15
STU_0828,64.8,86.3,19
STU_0829,65.8,74.2,18
STU_0830,67.2,75.2,15
STU_0831,56.6,80.7,15
STU_0832,60.8,76.9,18
STU_0833,60.0,82.6,17
STU_0834,62.3,77.3,15
STU_0835,69.7,70.1,16
STU_0836,72.3,77.9,18
STU_0837,85.5,65.9,15
STU_0838,60.0,75.9,19
STU_0839,79.8,74.7,20
STU_0840,67.9,73.3,16
STU_0841,69.5,74.0,20
STU_0842,76.7,59.9,20
STU_0843,58.8,70.6,15
STU_0844,73.8,,16
STU_0845,71.7,76.3,16
STU_0846,74.9,66.8,17
STU_0847,72.9,85.1,20
STU_0848,94.6,68.1,16
STU_0849,63.6,82.8,17
STU_0850,64.7,,18
STU_0851,63.8,69.8,17
STU_0852,64.4,89.2,19
STU_0853,63.6,65.5,15
STU_0854,81.9,,18
STU_0855,84.2,83.0,18
STU_0856,64.3,69.6,19
STU_0857,61.7,86.1,17
STU_0858,74.7,73.0,15
STU_0859,64.5,77.3,17
STU_0860,76.3,77.1,16
STU_0861,72.0,73.9,17
STU_0862,54.8,81.5,18
STU_0863,85.5,81.3,15
STU_0864,88.0,61.0,17
STU_0865,63.9,85.4,15
STU_0866,66.1,61.7,15
STU_0867,72.9,83.3,16
STU_0868,73.3,84.0,16
STU_0869,76.6,66.3,18
STU_0870,90.1,71.7,19
STU_0871,68.2,66.2,15
STU_0872,62.0,73.3,19
STU_0873,56.2,72.5,18
STU_0874,62.7,81.2,15
STU_0875,69.7,85.5,15
STU_0876,87.9,86.2,20
STU_0877,64.8,70.5,19
STU_0878,72.2,73.3,17
STU_0879,69.8,61.5,16
